"This is a duplication of the main game list, for convienience. These games' worlds are included with the main Archipelago installation. The Archipelago website is likely to be more up-to-date and accurate: https://archipelago.gg/games","","","","","","","",""
"Game","Game Page","Setup Page","Discord Channel","","","","",""
"Landstalker - The Treasures of King Nole","https://archipelago.gg/games/Landstalker%20-%20The%20Treasures%20of%20King%20Nole/info/en","https://archipelago.gg/tutorial/#Landstalker%20-%20The%20Treasures%20of%20King%20Nole","https://discord.com/channels/731205301247803413/1192237232069808238","","","","",""
"The Legend of Zelda","https://archipelago.gg/games/The%20Legend%20of%20Zelda/info/en","https://archipelago.gg/tutorial/#The%20Legend%20of%20Zelda","https://discord.com/channels/731205301247803413/1090821869340467332","","","","",""
"Lingo","https://archipelago.gg/games/Lingo/info/en","https://archipelago.gg/tutorial/#Lingo","https://discord.com/channels/731205301247803413/1192233449868767362","","","","",""
"A Link to the Past","https://archipelago.gg/games/A%20Link%20to%20the%20Past/info/en","https://archipelago.gg/tutorial/#A%20Link%20to%20the%20Past","https://discord.com/channels/731205301247803413/827141303330406408","","","","",""
"Links Awakening DX","https://archipelago.gg/games/Links%20Awakening%20DX/info/en","https://archipelago.gg/tutorial/#Links%20Awakening%20DX","https://discord.com/channels/731205301247803413/1090819435893362768","","","","",""
"Lufia II Ancient Cave","https://archipelago.gg/games/Lufia%20II%20Ancient%20Cave/info/en","https://archipelago.gg/tutorial/#Lufia%20II%20Ancient%20Cave","https://discord.com/channels/731205301247803413/1055241755383046154","","","","",""
"Mario & Luigi Superstar Saga","https://archipelago.gg/games/Mario%20&%20Luigi%20Superstar%20Saga/info/en","https://archipelago.gg/tutorial/#Mario%20%26%20Luigi%20Superstar%20Saga","https://discord.com/channels/731205301247803413/1257453738612756632","","","","",""
"Mega Man 2","https://archipelago.gg/games/Mega%20Man%202/info/en","https://archipelago.gg/tutorial/#Mega%20Man%202","https://discord.com/channels/731205301247803413/1311061171192729690","","","","",""
"MegaMan Battle Network 3","https://archipelago.gg/games/MegaMan%20Battle%20Network%203/info/en","https://archipelago.gg/tutorial/#MegaMan%20Battle%20Network%203","https://discord.com/channels/731205301247803413/1148331400542568558","","","","",""
"Meritous","https://archipelago.gg/games/Meritous/info/en","https://archipelago.gg/tutorial/#Meritous","https://discord.com/channels/731205301247803413/959202754188963880","","","","",""
"The Messenger","https://archipelago.gg/games/The%20Messenger/info/en","https://archipelago.gg/tutorial/#The%20Messenger","https://discord.com/channels/731205301247803413/1090822939697500243","","","","",""
"Muse Dash","https://archipelago.gg/games/Muse%20Dash/info/en","https://archipelago.gg/games/Muse%20Dash/player-options","https://discord.com/channels/731205301247803413/1148331097705414796","","","","",""
"Noita","https://archipelago.gg/games/Noita/info/en","https://archipelago.gg/tutorial/#Noita","https://discord.com/channels/731205301247803413/1109174779619057795","","","","",""
"Ocarina of Time","https://archipelago.gg/games/Ocarina%20of%20Time/info/en","https://archipelago.gg/tutorial/#Ocarina%20of%20Time","https://discord.com/channels/731205301247803413/884928390421938206","","","","",""
"Old School Runescape","https://archipelago.gg/games/Old%20School%20Runescape/info/en","https://archipelago.gg/tutorial/#Old%20School%20Runescape","https://discord.com/channels/731205301247803413/1311060866598178866","","","","",""
"Overcooked! 2","https://archipelago.gg/games/Overcooked!%202/info/en","https://archipelago.gg/tutorial/#Overcooked%21%202","https://discord.com/channels/731205301247803413/1043593072174440448","","","","",""
"Paint","https://archipelago.gg/games/Paint/info/en","https://archipelago.gg/tutorial/#Paint","https://discord.com/channels/731205301247803413/1404622196567048253","","","","",""
"Pokemon Emerald","https://archipelago.gg/games/Pokemon%20Emerald/info/en","https://archipelago.gg/tutorial/#Pokemon%20Emerald","https://discord.com/channels/731205301247803413/1192236871468711966","","","","",""
"Pokemon Red and Blue","https://archipelago.gg/games/Pokemon%20Red%20and%20Blue/info/en","https://archipelago.gg/tutorial/#Pokemon%20Red%20and%20Blue","https://discord.com/channels/731205301247803413/1043592720603693167","","","","",""
"Raft","https://archipelago.gg/games/Raft/info/en","https://archipelago.gg/tutorial/#Raft","https://discord.com/channels/731205301247803413/937206960472883243","","","","",""
"Risk of Rain 2","https://archipelago.gg/games/Risk%20of%20Rain%202/info/en","https://archipelago.gg/tutorial/#Risk%20of%20Rain%202","https://discord.com/channels/731205301247803413/884926818480705586","","","","",""
"Saving Princess","https://archipelago.gg/games/Saving%20Princess/info/en","https://archipelago.gg/tutorial/#Saving%20Princess","https://discord.com/channels/731205301247803413/1356647146484666439","","","","",""
"Secret of Evermore","https://archipelago.gg/games/Secret%20of%20Evermore/info/en","https://archipelago.gg/tutorial/#Secret%20of%20Evermore","https://discord.com/channels/731205301247803413/909605724190019645","","","","",""
"shapez","https://archipelago.gg/games/shapez/info/en","https://archipelago.gg/tutorial/#shapez","https://discord.com/channels/731205301247803413/1394026826782740601","","","","",""
"Shivers","https://archipelago.gg/games/Shivers/info/en","https://archipelago.gg/tutorial/#Shivers","https://discord.com/channels/731205301247803413/1192237130005610586","","","","",""
"A Short Hike","https://archipelago.gg/games/A%20Short%20Hike/info/en","https://archipelago.gg/tutorial/#A%20Short%20Hike","https://discord.com/channels/731205301247803413/1224389725922787389","","","","",""
"SMZ3","https://archipelago.gg/games/SMZ3/info/en","https://archipelago.gg/tutorial/#SMZ3","https://discord.com/channels/731205301247803413/959203096142184458","","","","",""
"Sonic Adventure 2 Battle","https://archipelago.gg/games/Sonic%20Adventure%202%20Battle/info/en","https://archipelago.gg/tutorial/#Sonic%20Adventure%202%20Battle","https://discord.com/channels/731205301247803413/980554290798145566","","","","",""
"Starcraft 2","https://archipelago.gg/games/Starcraft%202/info/en","https://archipelago.gg/tutorial/#Starcraft%202","https://discord.com/channels/731205301247803413/980554570075873300","","","","",""
"Stardew Valley","https://archipelago.gg/games/Stardew%20Valley/info/en","https://archipelago.gg/tutorial/#Stardew%20Valley","https://discord.com/channels/731205301247803413/1090823633099833464","","","","",""
"Subnautica","https://archipelago.gg/games/Subnautica/info/en","https://archipelago.gg/tutorial/#Subnautica","https://discord.com/channels/731205301247803413/868938368346628096","","","","",""
"Sudoku","https://archipelago.gg/games/Sudoku/info/en","https://archipelago.gg/tutorial/#Sudoku","https://discord.com/channels/731205301247803413/1043594049854124152","","","","",""
"Super Mario 64","https://archipelago.gg/games/Super%20Mario%2064/info/en","https://archipelago.gg/tutorial/#Super%20Mario%2064","https://discord.com/channels/731205301247803413/937206798014898186","","","","",""
"Super Mario Land 2: The Golden Coins","https://archipelago.gg/games/Super%20Mario%20Land%202/info/en","https://archipelago.gg/tutorial/#Super%20Mario%20Land%202","https://discord.com/channels/731205301247803413/1394026996325158982","","","","",""
"Super Mario World","https://archipelago.gg/games/Super%20Mario%20World/info/en","https://archipelago.gg/tutorial/#Super%20Mario%20World","https://discord.com/channels/731205301247803413/1043593173089398846","","","","",""
"Super Metroid","https://archipelago.gg/games/Super%20Metroid/info/en","https://archipelago.gg/tutorial/#Super%20Metroid","https://discord.com/channels/731205301247803413/909599727341928538","","","","",""
"Terraria","https://archipelago.gg/games/Terraria/info/en","https://archipelago.gg/tutorial/#Terraria","https://discord.com/channels/731205301247803413/1148330488482767008","","","","",""
"Timespinner","https://archipelago.gg/games/Timespinner/info/en","https://archipelago.gg/tutorial/#Timespinner","https://discord.com/channels/731205301247803413/893636303630000169","","","","",""
"TUNIC","https://archipelago.gg/games/TUNIC/info/en","https://archipelago.gg/tutorial/#TUNIC","https://discord.com/channels/731205301247803413/1224388891948093540","","","","",""
"Undertale","https://archipelago.gg/games/Undertale/info/en","https://archipelago.gg/tutorial/#Undertale","https://discord.com/channels/731205301247803413/1148330675452264499","","","","",""
"VVVVVV","https://archipelago.gg/games/VVVVVV/info/en","https://archipelago.gg/tutorial/#VVVVVV","https://discord.com/channels/731205301247803413/937206899949076540","","","","",""
"Wargroove","https://archipelago.gg/games/Wargroove/info/en","https://archipelago.gg/tutorial/#Wargroove","https://discord.com/channels/731205301247803413/1090824439710625822","","","","",""
"The Wind Waker","https://archipelago.gg/games/The%20Wind%20Waker/info/en","https://archipelago.gg/tutorial/#The%20Wind%20Waker","https://discord.com/channels/731205301247803413/1356643332754768044","","","","",""
"The Witness","https://archipelago.gg/games/The%20Witness/info/en","https://archipelago.gg/tutorial/#The%20Witness","https://discord.com/channels/731205301247803413/980554001231786014","","","","",""
"Yacht Dice","https://archipelago.gg/games/Yacht%20Dice/info/en","https://archipelago.gg/tutorial/#Yacht%20Dice","https://discord.com/channels/731205301247803413/1311061580645142578","","","","",""
"Yoshi's Island","https://archipelago.gg/games/Yoshi's%20Island/info/en","https://archipelago.gg/tutorial/#Yoshi%27s%20Island","https://discord.com/channels/731205301247803413/1224389973336133743","","","","",""
"Yu-Gi-Oh! 2006","https://archipelago.gg/games/Yu-Gi-Oh!%202006/info/en","https://archipelago.gg/tutorial/#Yu-Gi-Oh%21%202006","https://discord.com/channels/731205301247803413/1257454640950149151","","","","",""
"Zillion","https://archipelago.gg/games/Zillion/info/en","https://archipelago.gg/tutorial/#Zillion","https://discord.com/channels/731205301247803413/1043593966131613736","","","","",""
